Bat.family,Plot.order,North.America,South.America,Europe,Africa,Asia,Oceania
Cistugidae,12,1,1,1,2,1,1
Craseonycteridae,7,1,1,1,1,3,1
Emballonuridae,14,3,3,1,3,4,2
Furipteridae,20,1,2,1,1,1,1
Hipposideridae,3,1,1,1,4,4,3
Megadermatidae,5,1,1,1,4,4,3
Miniopteridae,10,1,1,4,4,4,4
Molossidae,9,4,4,4,4,4,3
Mormoopidae,18,4,3,1,1,1,1
Mystacinidae,16,1,1,1,1,1,4
Myzopodidae,15,1,1,1,2,1,1
Natalidae,8,3,2,1,1,1,1
Noctilionidae,21,3,3,1,1,1,1
Nycteridae,13,1,1,1,4,4,1
Phyllostomidae,17,4,4,1,1,1,1
Pteropodidae,1,1,1,1,4,4,4
Rhinolophidae,2,1,1,4,4,4,4
Rhinonycteridae,4,1,1,1,4,2,4
Rhinopomatidae,6,1,1,1,4,4,1
Thyropteridae,19,2,3,1,1,1,1
Vespertilionidae,11,4,4,4,4,4,4