Bat.family,Plot.order,Named,Sampled,Positive
Cistugidae,12,2,0,0
Craseonycteridae,7,1,1,0
Emballonuridae,14,55,19,3
Furipteridae,20,2,0,0
Hipposideridae,3,90,33,21
Megadermatidae,5,6,5,2
Miniopteridae,10,35,19,11
Molossidae,9,131,40,16
Mormoopidae,18,18,5,3
Mystacinidae,16,2,1,1
Myzopodidae,15,2,0,0
Natalidae,8,11,2,0
Noctilionidae,21,2,2,0
Nycteridae,13,16,7,3
Phyllostomidae,17,222,88,19
Pteropodidae,1,201,59,32
Rhinolophidae,2,106,50,31
Rhinonycteridae,4,9,5,4
Rhinopomatidae,6,6,2,1
Thyropteridae,19,5,1,0
Vespertilionidae,11,513,204,91